"b_pubid","b_sourceid","b_classname","b_batchid","b_credate","b_upddate","b_creator","b_updator","b_pendingactions","b_matchgrp","b_oldmatchgrp","b_xgrp","b_confirmationstatus","b_confscore","b_confscoretype","b_hassuggmerge","b_suggmergeid","b_suggmergeconfscore","b_suggmergeconfscoretype","b_suggmergemasterscount","id","b_oldsdpk","b_confirmedsdpk","first_name","last_name","phonetic_first_name","phonetic_last_name","normalized_first_name","normalized_last_name","nickname","member_id","date_of_birth","normalized_street","normalized_city","normalized_state","source_email","cleansed_email","valid_email_domain","source_phone","standardized_phone","phone_geocoding_data","value_status","person_type","mdm_id","effective_update_date","addstreet","addcity","addstate","addpostal_code","addcountry","melgeo_street","melgeo_locality","melgeo_postal_code","melgeo_admin_level1","melgeo_admin_lvl2","melgeo_country_long","melgeo_country_short","mellatitude","mellongitude","melstatus_code","googeo_street","googeo_locality","googeo_postal_code","googeo_admin_level1","googeo_admin_lvl2","googeo_country_long","googeo_country_short","goolatitude","goolongitude","goostatus_code","osmgeo_street","osmgeo_locality","osmgeo_postal_code","osmgeo_admin_level1","osmgeo_admin_lvl2","osmgeo_country_long","osmgeo_country_short","osmlatitude","osmlongitude","osmstatus_code","guess_gender"
CRM,"1373060",Person,86,2025-03-11 17:14:24.247,2025-03-11 17:20:13.194,semadmin,semadmin,NONE,856,,,NOT_CONFIRMED,,,,,,,,10392,10392,,Hallie,Williams,HL,WLMS,hallie,williams,hallie,"249-96-8516",1976-12-20,"320 NEW BRIDGE AVE",JACKSONVILLE,NORTH CAROLINA,hallie@gmai.com,hallie@gmail.com,"1","910-455-8087",(910) 455-8087,"Jacksonville, NC",,PROSPECT,,2025-03-11 17:19:33.559,"320 New Bridge Ave",Jacksonville,NC,"28540",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
MKT,"1352605",Person,86,2025-03-11 17:14:24.247,2025-03-11 17:20:13.194,semadmin,semadmin,NONE,857,,,NOT_CONFIRMED,,,,,,,,10451,10451,,Cassie,Lee,KS,L,cassie,lee,cassandra,"764-58-3930",1984-01-19,HOWELLS RD,MIDDLETOWN,NEW YORK,carrie@sandrowicz.com,carrie@sandrowicz.com,"1","845-344-5941",(845) 344-5941,"Middletown, NY",NORMAL,CUSTOMER,,2025-03-11 17:18:03.940,Howells Rd,Middletown,NY,"10640",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
MKT,"1445916",Person,88,2025-03-19 11:12:06.945,2025-03-19 11:12:06.945,semadmin,semadmin,NONE,934,,,NOT_CONFIRMED,,,,,,,,10545,,,Farica,Anelay,FRK,ANL,farica,anelay,farica,"32",1940-10-24,"8 ANNAMARK PASS",KITEN,,fanelaya@home.pl,fanelaya@home.pl,"1",,,,NORMAL,CUSTOMER,,2025-03-19 11:12:01.812,"8 Annamark Pass",Kiten,,,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1440419",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,878,,,NOT_CONFIRMED,,,,,,,,10503,,,Min,Dart,MN,TRT,min,dart,min,"92",1977-11-07,"861 BAY PASS",CALABUGAO,,mdartd@tinypic.com,mdartd@tinypic.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.439,"861 Bay Pass",Calabugao,,"2721",PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
CRM,"1435009",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,863,,,NOT_CONFIRMED,,,,,,,,10504,,,Cinderella,Le Sarr,SNTR,LSR,cinderella le,sarr,cinderella,"54",1981-04-26,"98 BONNER ST",KERATéA,,clesarrv@nifty.com,clesarrv@nifty.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.541,"98 Bonner Street",Keratéa,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1435306",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,864,,,NOT_CONFIRMED,,,,,,,,10505,,,Tomlin,Laval,TMLN,LFL,laval,tomlin,tomlin,"51",1947-02-16,"9000 MEMORIAL AVE",ATIPULUHAN,,tlavaly@state.tx.us,tlavaly@state.tx.us,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.562,"9000 Memorial Avenue",Atipuluhan,,"6124",PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1435729",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,865,,,NOT_CONFIRMED,,,,,,,,10506,,,Powell,Cowling,PWL,KLNK,powell,cowling,powell,"52",1979-11-28,"563 SUNNYSIDE PLAZA",AURORA,,pcowling8@blinklist.com,pcowling8@blinklist.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.421,"563 Sunnyside Plaza",Aurora,,"7020",PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1435768",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,866,,,NOT_CONFIRMED,,,,,,,,10507,,,Lin,Titterrell,LN,TTRL,lin,titterrell,lin,"2",1938-12-28,"772 FALLVIEW AVE",CORINTO,,ltitterrell15@java.com,ltitterrell15@japan.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.603,"772 Fallview Avenue",Corinto,,"39200-000",BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
CRM,"1435977",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,867,,,NOT_CONFIRMED,,,,,,,,10508,,,Lita,Durdy,LT,TRT,lita,durdy,lita,"66",1947-05-13,"5370 DARWIN CIRCLE",KONGKESHU,,ldurdy14@phpbb.com,ldurdy14@phpbb.com,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.598,"5370 Darwin Circle",Kongkeshu,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
CRM,"1436151",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,868,,,NOT_CONFIRMED,,,,,,,,10509,,,Nonah,Truss,NN,TRS,nonah,truss,nonah,"40",1963-08-25,"33 HOFFMAN PARK",FALKENBERG,HALLAND,ntrusst@delicious.com,ntrusst@religious.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.530,"33 Hoffman Park",Falkenberg,Halland,"311 35",SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
