Publisher ID,Source ID,First Name,Last Name,Date Of Birth,Member ID,Address_Street,Address_City,Address_State,Address_Postal Code,Address_Country,Source Email,Source Phone,Person Type,Value Status,,
CRM,1441979,Carolee,Samett,11/7/57,19,0 Anderson Plaza,Sentul,,,ID,csamett0@scientificamerican.com,,PROSPECT,,,
CRM,1437687,Lydie,Haime,1/10/63,73,5 Northport Road,Abaeté,,35620-000,BR,lhaime1@dmoz.org,,CUSTOMER,NORMAL,,
MKT,1439612,Rooney,Buckbee,8/11/65,7,7331 Eagle Crest Road,Quwa,,,CN,rbuckbee2@macromedia.com,,PROSPECT,,,
MKT,1441230,Virgie,Pittwood,6/8/81,39,1439 Lighthouse Bay Point,Vestmannaeyjar,,902,IS,vpittwood3@hud.gov,,PROSPECT,,,
MKT,1439942,Timoteo,Papworth,3/21/38,85,71868 High Crossing Crossing,Berlin,Berlin,13599,DE,tpapworth4@constantcontact.com,,CUSTOMER,NORMAL,,
CRM,1443164,Felice,Pring,6/13/52,37,3436 Crownhardt Drive,Hà Đông,,,VN,fpring5@amazonaws.com,,CUSTOMER,NORMAL,,
CRM,1435729,Powell,Cowling,11/28/79,52,563 Sunnyside Plaza,Aurora,,7020,PH,pcowling8@blinklist.com,,PROSPECT,,,
MKT,1437835,Salvatore,Benkhe,5/3/88,26,83 Sundown Street,São Julião do Tojal,Lisboa,2660-363,PT,sbenkhe9@google.co.uk,,PROSPECT,,,
CRM,1443468,Ag,Levick,10/1/90,24,2828 Crowley Center,Lindavista,Veracruz Llave,95098,MX,alevickb@hubpages.com,,CUSTOMER,NORMAL,,
CRM,1440419,Min,Dart,11/7/77,92,861 Bay Pass,Calabugao,,2721,PH,mdartd@tinypic.com,,CUSTOMER,NORMAL,,
CRM,1443168,Fanya,Byrnes,9/27/61,93,6204 Dunning Court,Asen,,6151,BG,fbyrnese@stumbleupon.com,,CUSTOMER,NORMAL,,
CRM,1439369,Galina,Kalaher,9/14/88,64,42 Mandrake Park,Fencheng,,,CN,gkalaherf@uol.com.br,,CUSTOMER,HIGH,,
MKT,1442770,Isaac,McCaffery,9/25/61,30,528 Sachs Drive,Jiuxi,,,CN,imccafferyg@creativecommons.org,,CUSTOMER,HIGH,,
MKT,1436081,Marris,Calloway,11/1/81,16,7975 Sutteridge Terrace,Shangyuan,,,CN,mcallowayh@cisco.com,,CUSTOMER,NORMAL,,
CRM,1439077,Reggi,Narramore,11/25/39,50,3008 Oriole Street,Krajanbaturno,,,ID,rnarramorej@sourceforge.net,,CUSTOMER,HIGH,,
CRM,1436154,Wilbert,Neilan,1/2/93,51,390 Lakewood Point,Portalegre,Portalegre,7300-006,PT,wneilank@naver.com,,CUSTOMER,HIGH,,
CRM,1439572,Rori,Munden,3/7/42,63,72637 Shelley Terrace,Huangascar,,,PE,rmundenl@lulu.com,,CUSTOMER,HIGH,,
CRM,1437729,Benny,Gundry,7/15/77,78,223 Steensland Hill,Rawaapu,,,ID,bgundrym@ameblo.jp,,CUSTOMER,NORMAL,,
MKT,1437091,Gabriele,Medhurst,5/3/57,23,3 Algoma Lane,Novospasskoye,,607914,RU,gmedhurstn@ucoz.ru,,PROSPECT,,,
CRM,1441590,Austen,Hambelton,12/18/85,42,921 Dorton Road,Watangan,,,ID,ahambeltono@list-manage.com,,CUSTOMER,NORMAL,,
MKT,1444527,Gian,Mohring,2/10/88,91,59 Sutherland Road,Songyuan,,,CN,gmohringp@discovery.com,,CUSTOMER,NORMAL,,
MKT,1437774,Marnie,Vallack,8/22/55,40,88 Thompson Point,Lengshuijing,,,CN,mvallackq@twitpic.com,,PROSPECT,,,
MKT,1444496,Benedetto,Mease,12/7/70,50,87 Oneill Trail,Letuyi,,,CN,bmeaser@fotki.com,,PROSPECT,,,
MKT,1442305,Daune,Ansty,5/11/41,9,85816 Westport Terrace,Sidomulyo,,,ID,danstys@amazon.com,,PROSPECT,,,
CRM,1436151,Nonah,Truss,8/25/63,40,33 Hoffman Park,Falkenberg,Halland,311 35,SE,ntrusst@delicious.com,,PROSPECT,,,
MKT,1439755,Izzy,Raftery,10/31/58,49,04 Northfield Junction,Takanosu,,989-0222,JP,irafteryu@mapquest.com,,CUSTOMER,NORMAL,,
CRM,1435009,Cinderella,Le Sarr,4/26/81,54,98 Bonner Street,Keratéa,,,GR,clesarrv@nifty.com,,PROSPECT,,,
MKT,1442996,Cirilo,Glassford,12/22/53,97,82546 Sullivan Road,Daoqiao,,,CN,cglassfordw@com.com,,PROSPECT,,,
CRM,1440360,Doll,Hadcroft,5/24/49,47,293 Logan Avenue,Mnelalete,,,ID,dhadcroftx@nsw.gov.au,,PROSPECT,,,
CRM,1435306,Tomlin,Laval,2/16/47,51,9000 Memorial Avenue,Atipuluhan,,6124,PH,tlavaly@state.tx.us,,CUSTOMER,NORMAL,,
CRM,1444619,Brien,Sutlieff,3/30/36,5,83 Esch Parkway,Huillapima,,4726,AR,bsutlieffz@netvibes.com,,CUSTOMER,NORMAL,,
MKT,1439455,Atlanta,Giordano,11/4/70,65,9506 Chinook Trail,Bryukhovychi,,,UA,agiordano10@ehow.com,,CUSTOMER,NORMAL,,
